Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2024-11-30 17:27:21,false,"Base","5.80","640","00:57:13","144","152","3.5","153","167","9:52","8:51","--","--","1.10","9.1","10.0","290","--","285","0.0","281","330","8,728","No","00:00:12.7","7","00:55:55","00:57:13","--","--"
Treadmill Running,2024-11-29 14:53:28,false,"Base","4.88","477","00:46:06","136","145","3.1","155","240","9:27","8:46","--","--","1.04","9.3","9.7","291","--","273","0.0","272","328","7,146","No","00:01:06.0","6","00:45:45","00:46:06","--","--"
Running,2024-11-28 14:07:24,false,"Pittsburgh - Sprint","5.79","622","00:56:11","139","165","3.5","156","205","9:42","5:11","144","157","1.04","9.3","9.5","290","9:45","296","0.0","285","569","8,726","No","00:00:15","21","00:56:08","00:56:11","995","1,090"
Treadmill Running,2024-11-27 15:29:08,false,"Recovery","3.00","286","00:32:17","124","132","2.1","151","158","10:46","9:25","--","--","0.99","9.6","9.6","305","--","255","0.0","253","302","4,840","No","00:00:16.9","4","00:32:04","00:32:17","--","--"
Running,2024-11-26 05:35:41,false,"Pittsburgh Running","5.10","509","00:55:44","115","124","2.6","155","165","10:56","9:24","472","374","0.94","9.8","9.2","298","10:47","270","0.0","265","363","8,562","No","00:01:00.8","6","00:55:42","00:55:44","925","1,116"
Treadmill Running,2024-11-25 05:36:46,false,"Treadmill Running","5.00","358","00:49:56","118","126","2.0","153","220","9:59","8:38","--","--","1.11","9.2","10.2","293","--","285","0.0","284","325","7,600","No","00:02:40.2","6","00:49:49","00:49:56","--","--"
Running,2024-11-23 09:17:36,false,"Pittsburgh - Long Run","10.02","1,103","01:47:17","129","149","3.9","153","165","10:42","8:46","646","646","0.97","9.7","9.4","299","10:36","269","0.0","264","400","16,370","No","00:00:18.7","11","01:46:58","01:49:35","931","1,115"
Treadmill Running,2024-11-22 17:25:07,false,"Treadmill Running","2.92","311","00:26:50","149","156","3.2","155","169","9:11","7:41","--","--","1.13","8.9","10.0","287","--","290","0.0","284","348","4,132","No","00:08:22.1","3","00:26:48","00:26:50","--","--"
Treadmill Running,2024-11-22 17:04:44,false,"Sprint","2.04","199","00:19:59","132","149","2.4","149","210","9:49","4:52","--","--","1.11","9.2","10.2","297","--","280","0.0","269","502","2,946","No","00:00:15","6","00:19:20","00:19:59","--","--"
Running,2024-11-21 06:37:35,false,"Pittsburgh - Base","5.08","506","00:51:18","121","132","3.0","156","174","10:05","8:17","371","351","1.02","9.4","9.6","292","9:58","289","0.0","280","426","7,986","No","00:05:01.6","6","00:51:16","00:51:18","941","1,119"
Running,2024-11-20 14:58:53,false,"Pittsburgh - Base","5.11","563","00:50:39","140","152","3.5","155","175","9:54","7:17","358","361","1.04","9.4","9.7","292","9:49","296","0.0","288","443","7,814","No","00:05:35.3","6","00:50:35","00:50:39","922","1,098"
Running,2024-11-19 16:31:26,false,"Pittsburgh - Sprint","5.37","607","00:53:45","149","163","3.6","155","207","10:01","5:11","79","115","1.02","9.4","9.6","294","10:04","277","0.0","271","509","8,246","No","00:00:05.0","23","00:53:44","00:53:45","1,017","1,106"
Running,2024-11-18 05:33:16,false,"Pittsburgh - Base","5.06","471","00:52:16","118","131","2.8","157","169","10:20","7:35","351","361","0.99","9.6","9.5","292","10:13","266","0.0","260","367","8,120","No","00:04:07.4","6","00:52:12","00:56:05","923","1,108"
Running,2024-11-17 15:13:32,false,"Pittsburgh - Recovery","1.71","182","00:19:33","126","146","2.1","146","159","11:27","7:45","98","79","0.97","9.9","9.6","312","11:09","246","0.0","238","366","2,866","No","00:08:21.9","2","00:19:21","00:29:26","1,072","1,124"
Running,2024-11-16 13:35:27,false,"Pittsburgh - Long Run","12.13","1,284","02:02:11","139","157","4.4","155","225","10:05","5:36","738","784","1.03","9.4","9.7","293","9:59","283","0.0","275","570","18,818","No","00:04:10.8","13","02:01:50","02:15:04","923","1,149"
Running,2024-11-15 17:11:41,false,"Pittsburgh - Sprint","5.71","630","00:56:58","151","169","3.8","155","209","9:58","4:47","161","151","1.02","9.4","9.5","292","9:58","278","0.0","268","534","8,770","No","00:00:15","21","00:56:39","00:56:58","1,004","1,099"
Treadmill Running,2024-11-14 17:30:42,false,"Treadmill Running","4.50","449","00:42:36","139","155","3.2","153","243","9:28","9:01","--","--","1.08","9.2","10.0","290","--","275","0.0","270","312","6,478","No","00:03:35.4","5","00:41:44","00:43:54","--","--"
Running,2024-11-12 16:34:51,false,"Pittsburgh - Sprint","8.13","872","01:17:19","147","174","4.6","156","203","9:30","5:07","253","266","1.07","9.2","9.8","288","9:31","291","0.0","283","504","11,958","No","00:00:10","26","01:17:14","01:17:19","891","1,047"
Running,2024-11-11 05:30:11,false,"Pittsburgh Running","5.09","533","00:53:02","125","142","3.1","157","176","10:25","7:36","374","371","0.98","9.6","9.4","292","10:18","278","0.0","273","376","8,288","No","00:00:43.6","6","00:53:01","00:53:02","925","1,116"
Running,2024-11-09 13:03:42,false,"Pittsburgh - Base","6.86","780","01:18:25","142","152","3.4","151","188","11:26","7:25","449","433","0.93","10.0","9.2","307","11:17","252","0.0","246","391","11,794","No","00:02:25.2","8","01:18:17","01:18:25","942","1,152"
Running,2024-11-08 13:50:33,false,"Pittsburgh - Base","4.72","533","00:46:33","151","164","3.9","155","165","9:52","6:29","358","344","1.05","9.4","9.8","292","9:43","294","0.0","288","461","7,178","No","00:01:32.7","6","00:46:30","00:46:33","919","1,101"
Running,2024-11-07 16:29:49,false,"Pittsburgh - Base","8.99","1,005","01:27:53","150","161","4.4","155","168","9:46","8:09","466","466","1.06","9.3","9.9","293","9:42","292","0.0","285","424","13,500","No","00:03:03.8","10","01:27:51","01:27:53","887","1,075"
Running,2024-11-05 17:19:12,false,"Pittsburgh Running","3.14","334","00:32:39","128","160","3.0","148","159","10:25","7:55","187","220","1.04","9.4","9.8","296","10:20","281","0.0","270","377","4,800","No","00:01:17.2","4","00:31:38","00:32:47","919","1,087"
Running,2024-11-03 08:30:38,false,"EQT 10 Miler","10.20","886","01:22:43","121","129","4.5","166","178","8:06","5:41","335","318","1.19","8.3","9.9","259","8:05","341","0.0","336","517","13,728","No","00:01:24.0","11","01:22:41","01:22:43","741","805"
Running,2024-11-02 11:46:30,false,"Pittsburgh - Base","3.60","393","00:34:42","142","163","3.4","156","167","9:38","7:27","338","335","1.07","9.2","9.8","287","9:25","309","0.0","296","445","5,406","No","00:01:41.7","5","00:34:34","00:34:42","914","1,094"
Running,2024-10-31 13:33:20,false,"Pittsburgh - Recovery","3.46","419","00:38:39","146","157","3.2","152","162","11:09","8:43","358","335","0.95","9.9","9.4","307","10:54","273","0.0","263","387","5,808","No","00:00:38.7","5","00:38:37","00:38:39","1,034","1,129"
Running,2024-10-30 14:19:32,false,"Pittsburgh - Recovery","3.48","387","00:41:53","130","139","2.5","147","159","12:03","9:16","243","230","0.90","10.1","9.1","316","11:54","243","0.0","235","361","6,148","No","00:01:53.2","5","00:41:26","00:41:53","1,046","1,119"
Running,2024-10-29 16:53:07,false,"Pittsburgh - Base","6.17","680","01:05:29","139","152","3.3","151","200","10:37","5:20","62","69","1.00","9.7","9.6","305","10:38","263","0.0","259","459","9,852","No","00:02:01.8","7","01:05:27","01:05:29","1,033","1,051"
Running,2024-10-28 11:31:52,false,"Pittsburgh - Base","4.00","468","00:45:13","147","163","3.1","153","163","11:18","7:45","203","203","0.93","9.9","9.2","305","11:10","254","0.0","247","425","6,852","No","00:00:03.6","7","00:45:07","00:45:42","953","1,102"
Running,2024-10-27 16:16:13,false,"Pittsburgh - Recovery","3.54","381","01:03:30","101","133","2.4","84","163","17:56","8:03","295","292","0.97","9.8","9.3","302","18:19","239","0.0","145","435","5,612","No","00:09:17.6","4","00:35:20","01:03:30","1,016","1,108"
Running,2024-10-26 10:56:14,false,"Pittsburgh - Base","5.35","522","00:48:22","133","143","3.3","158","173","9:03","7:28","384","374","1.12","8.9","10.0","279","8:55","318","0.0","312","406","7,632","No","00:00:22.2","7","00:48:20","00:48:22","929","1,112"
Running,2024-10-24 17:04:05,false,"Pittsburgh - Anaerobic","6.27","637","00:59:19","133","146","3.5","158","190","9:27","5:30","105","141","1.07","9.1","9.6","285","9:28","301","0.0","286","488","9,264","No","00:01:00","19","00:59:17","00:59:19","1,003","1,089"
Running,2024-10-23 17:13:29,false,"Pittsburgh - Base","4.69","521","00:46:14","143","157","3.5","156","165","9:51","8:29","348","351","1.04","9.3","9.7","289","9:43","296","0.0","289","441","7,194","No","00:01:13.7","6","00:46:12","00:46:14","911","1,099"
Running,2024-10-22 16:55:59,false,"Pittsburgh - Anaerobic","6.48","671","01:02:05","136","149","3.5","156","228","9:35","6:28","128","141","1.06","9.2","9.7","289","9:36","296","0.0","282","435","9,568","No","00:00:01.5","24","01:02:01","01:02:08","1,014","1,098"
Running,2024-10-21 17:20:38,false,"Pittsburgh - Base","4.97","533","00:49:06","137","157","3.5","156","163","9:53","7:19","354","348","1.04","9.4","9.7","291","9:47","291","0.0","283","422","7,602","No","00:04:05.8","6","00:49:05","00:49:06","925","1,109"
Running,2024-10-19 14:40:01,false,"Pittsburgh - Long Run","9.06","954","01:30:39","138","150","3.9","155","167","10:00","8:07","564","522","1.03","9.4","9.7","293","9:53","283","0.0","276","413","13,972","No","00:00:38.5","10","01:30:36","01:30:39","911","1,138"
Running,2024-10-18 17:21:35,false,"Pittsburgh - Base","4.75","529","00:46:46","147","164","3.7","157","175","9:51","8:23","351","351","1.04","9.3","9.7","288","9:42","290","0.0","281","455","7,312","No","00:01:46.2","6","00:46:44","00:46:46","914","1,101"
Running,2024-10-17 16:36:52,false,"Pittsburgh - Anaerobic","7.06","795","01:10:58","151","167","3.9","156","190","10:03","5:28","115","161","1.02","9.4","9.5","292","10:04","283","0.0","269","507","10,876","No","00:00:40","27","01:10:55","01:10:58","999","1,084"
