Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-04-21 11:38:29,false,"Pittsburgh Running","12.06","1,378","02:09:20","131","154","4.1","157","177","10:43","4:40","676","738","0.95","9.6","9.1","293","10:40","278","0.0","274","470","20,264","No","00:00:34.1","13","02:09:16","02:12:50","922","1,101"
Running,2024-04-20 14:03:25,false,"Pittsburgh Running","5.12","521","00:44:07","140","149","3.5","164","179","8:37","7:05","394","387","1.13","8.5","9.6","266","8:32","351","0.0","346","479","7,242","No","00:00:57.1","6","00:44:04","00:44:07","909","1,094"
Running,2024-04-18 05:30:27,false,"Pittsburgh Running","5.10","576","00:53:55","134","142","3.1","161","180","10:34","8:14","371","367","0.95","9.5","9.0","286","10:25","285","0.0","280","404","8,640","No","00:00:54.4","6","00:53:51","00:53:55","927","1,112"
Running,2024-04-17 17:50:29,false,"Pittsburgh Running","6.02","576","00:54:06","130","139","3.2","159","165","8:59","7:18","85","75","1.12","8.8","9.9","278","9:00","328","0.0","325","401","8,600","No","00:00:11.9","7","00:54:04","00:54:06","1,039","1,060"
Running,2024-04-16 05:29:12,false,"Pittsburgh Running","5.12","589","00:50:59","144","154","3.5","161","174","9:58","8:06","348","354","1.00","9.2","9.2","281","9:52","297","0.0","293","395","8,196","No","00:00:57.9","6","00:50:57","00:50:59","938","1,121"
Running,2024-04-15 17:30:26,false,"Pittsburgh Running","3.81","432","00:35:21","151","160","3.6","156","168","9:17","8:30","128","72","1.11","9.0","9.9","286","9:13","313","0.0","311","390","5,476","No","00:07:54.7","4","00:35:20","00:35:21","1,044","1,124"
Running,2024-04-14 09:35:15,false,"20 miler #2","20.04","2,395","03:23:33","140","182","5.0","156","166","10:09","7:01","906","902","1.01","9.4","9.5","291","10:04","295","0.0","291","509","31,678","No","00:00:27.6","21","03:23:14","03:28:38","742","1,140"
Running,2024-04-13 14:36:46,false,"Pittsburgh Running","5.11","547","00:43:53","151","169","4.1","164","178","8:35","7:00","381","367","1.14","8.5","9.6","266","8:29","352","0.0","347","460","7,200","No","00:00:48.6","6","00:43:50","00:43:53","927","1,108"
Running,2024-04-11 05:35:02,false,"Pittsburgh Running","5.09","587","00:50:59","144","168","3.7","160","171","10:01","7:22","371","354","1.00","9.3","9.2","283","9:55","297","0.0","293","418","8,160","No","00:00:52.4","6","00:50:56","00:50:59","940","1,123"
Running,2024-04-10 07:04:53,false,"Pittsburgh Running","8.26","880","01:19:34","125","136","4.0","160","181","9:38","7:07","554","538","1.04","9.1","9.5","282","9:34","310","0.0","304","432","12,636","No","00:02:36.5","9","01:19:16","01:19:34","934","1,114"
Running,2024-04-09 07:41:58,false,"Pittsburgh Running","5.19","595","00:50:40","148","160","3.9","158","174","9:45","7:47","371","344","1.04","9.2","9.5","285","9:37","308","0.0","301","455","7,996","No","00:01:45.9","6","00:50:22","00:50:40","947","1,121"
Running,2024-04-07 06:24:06,false,"Pittsburgh Running","11.95","1,317","01:58:05","129","142","4.8","159","174","9:53","6:42","709","702","1.03","9.2","9.4","284","9:46","300","0.0","296","481","18,752","No","00:03:31.3","13","01:58:01","01:58:05","736","1,142"
Running,2024-04-06 06:32:30,false,"Pittsburgh Running","5.47","643","00:53:42","157","163","4.2","156","172","9:49","7:19","344","341","1.05","9.2","9.6","289","9:44","307","0.0","301","445","8,364","No","00:04:13.0","6","00:53:35","00:53:42","1,007","1,150"
Treadmill Running,2024-04-06 05:49:16,false,"Treadmill Running","3.54","370","00:33:34","143","154","3.2","155","170","9:28","8:43","--","--","1.10","9.0","9.9","284","--","297","0.0","293","324","5,180","No","00:05:18.5","4","00:33:01","00:33:34","--","--"
Treadmill Running,2024-04-04 05:41:01,false,"Treadmill Running","5.00","527","00:44:24","153","166","4.0","162","173","8:53","8:13","--","--","1.08","8.8","9.5","274","--","299","0.0","297","352","7,196","No","00:07:20.8","5","00:44:11","00:44:24","--","--"
Treadmill Running,2024-04-03 05:39:57,false,"Treadmill Running","5.00","524","00:46:24","147","164","3.7","162","174","9:17","8:59","--","--","1.00","9.1","9.2","279","--","277","0.0","276","321","7,502","No","00:06:40.4","5","00:46:17","00:46:24","--","--"
Treadmill Running,2024-04-02 05:39:33,false,"Treadmill Running","5.00","537","00:50:01","141","150","3.4","158","169","10:00","8:32","--","--","1.15","8.8","10.1","279","--","313","0.0","312","333","7,870","No","00:05:39.3","6","00:49:59","00:50:01","--","--"
Running,2024-04-01 18:09:02,false,"Harmar Running","3.02","338","00:34:13","133","156","2.6","152","159","11:20","9:39","33","23","0.93","9.9","9.1","306","11:25","253","0.0","251","330","5,172","No","00:00:12.1","4","00:34:01","00:34:13","752","769"
Running,2024-03-31 09:55:20,false,"20 Miler #1","20.10","2,269","03:19:06","153","171","5.0","158","176","9:54","7:18","860","837","1.02","9.2","9.4","286","9:51","295","0.0","291","440","31,346","No","00:00:45.6","21","03:18:43","03:21:37","724","1,115"
Treadmill Running,2024-03-30 13:19:59,false,"Treadmill Running","5.10","496","00:45:50","145","158","3.6","158","171","8:59","8:54","--","--","1.08","9.0","9.7","281","--","294","0.0","291","313","7,234","No","00:07:47.4","5","00:45:11","00:46:39","--","--"
Treadmill Running,2024-03-28 07:19:46,false,"Treadmill Running","5.00","500","00:46:13","145","154","3.9","161","233","9:15","9:22","--","--","1.02","9.1","9.3","279","--","282","0.0","280","297","7,440","No","00:06:56.9","5","00:46:00","00:46:13","--","--"
Treadmill Running,2024-03-27 07:21:46,false,"Treadmill Running","8.00","849","01:20:00","144","161","4.3","157","240","10:00","7:02","--","--","1.08","9.1","9.7","285","--","292","0.0","291","420","12,540","No","00:03:25.3","9","01:19:36","01:20:00","--","--"
Treadmill Running,2024-03-26 07:06:02,false,"Treadmill Running","5.25","525","00:46:19","151","166","4.6","159","220","8:50","7:23","--","--","1.15","8.7","9.9","274","--","316","0.0","313","401","7,344","No","00:02:08.8","6","00:45:58","00:46:27","--","--"
Running,2024-03-25 17:28:32,false,"Recovery","3.15","318","00:32:34","121","126","3.0","155","161","10:20","9:13","46","33","1.00","9.4","9.5","295","10:23","281","0.0","278","322","5,012","No","00:01:34.6","4","00:32:22","00:32:34","1,047","1,070"
Running,2024-03-24 12:13:31,false,"Sunday long run","13.05","1,312","02:13:37","152","164","5.0","155","171","10:14","6:49","801","764","1.01","9.4","9.4","294","10:06","292","0.0","288","448","20,724","No","00:00:21.4","14","02:13:29","02:15:55","724","1,157"
Treadmill Running,2024-03-23 13:30:49,false,"Treadmill Running","8.00","830","01:11:44","167","181","5.0","158","171","8:58","7:19","--","--","1.16","8.7","10.1","277","--","316","0.0","314","397","11,290","No","00:01:04.2","9","01:11:19","01:11:44","--","--"
